$primary$,$original$
$red fork (usa) investments, inc.$,$red fork (usa) investments, inc.$
$cci east texas upstream llc$,$cci east texas upstream llc$
$o'benco, inc.$,$o'benco, inc.$
$capstone natural resources ii, llc$,$capstone natural resources ii, llc$
$r. lacy services, ltd$,$r. lacy services, ltd$
$camino natural resources, llc$,$camino natural resources, llc$
$southern bay operating, l.l.c.$,$southern bay operating, l.l.c.$
$meco iv, llc$,$meco iv, llc$
$arris petroleum corporation$,$arris petroleum corporation$
$northstar operating company$,$northstar operating company$
$omni oil & gas, inc.$,$omni oil & gas, inc.$
$red rocks oil & gas operating llc$,$red rocks oil & gas operating llc$
$cml exploration, llc$,$cml exploration, llc$
$petro harvester operating company llc$,$petro harvester operating company llc$
$bainbridge uinta, llc$,$bainbridge uinta, llc$
$tekton energy$,$tekton energy$
$crown energy company$,$crown energy company$
$peterson energy operating, inc.$,$peterson energy operating, inc.$
$venoco inc$,$venoco inc$
$white knight production llc$,$white knight production llc$
$edf trading resources, llc$,$edf trading resources, llc$
$walter exploration company$,$walter exploration company$
$venture oil & gas$,$venture oil & gas$
$kirkpatrick oil company$,$kirkpatrick oil company$
$carrera energy, llc$,$carrera energy, llc$
$zarvona energy$,$zarvona energy$
$confluence dj llc$,$confluence dj llc$
$burk royalty co., ltd.$,$burk royalty co., ltd.$
$trio consulting & management, llc$,$trio consulting & management, llc$
$protege energy iii llc$,$protege energy iii llc$
$rosewood resources$,$rosewood resources$
$jones energy ltd$,$jones energy ltd$
$terrace energy$,$terrace energy$
$flamingo operating, llc$,$flamingo operating, llc$
$foundation energy management, llc$,$foundation energy management, llc$
$taqa north usa, inc.$,$taqa north usa, inc.$
$elk meadows resources, llc$,$elk meadows resources, llc$
$valpoint operating, llc$,$valpoint operating, llc$
$ee3 llc$,$ee3 llc$
$red willow production, llc$,$red willow production, llc$
$s. b. street operating, inc.$,$s. b. street operating, inc.$
$three span oil & gas, inc.$,$three span oil & gas, inc.$
$brg petroleum llc$,$brg petroleum llc$
$quanah panhandle, llc$,$quanah panhandle, llc$
$white rock oil & gas, llc$,$white rock oil & gas, llc$
$lakota energy, ltd.$,$lakota energy, ltd.$
$caird operating, llc$,$caird operating, llc$
$memorial production oper. :llc$,$memorial production oper. :llc$
$nfr energy llc$,$nfr energy llc$
$bnk petroleum (us) inc$,$bnk petroleum (us) inc$
$bbx operating$,$bbx operating$
$sequel energy, llc$,$sequel energy, llc$
$patara oil & gas, llc$,$patara oil & gas, llc$
$trail ridge energy partners ii llc$,$trail ridge energy partners ii llc$
$timber creek operating$,$timber creek operating$
$staghorn petroleum ii, llc$,$staghorn petroleum ii, llc$
$walter black warrior basin llc$,$walter black warrior basin llc$
$brammer engineering, inc.$,$brammer engineering, inc.$
$black raven energy, inc.$,$black raven energy, inc.$
$roff operating company$,$roff operating company$
$gulf pine energy$,$gulf pine energy$
$bluestem energy holdings, llc$,$bluestem energy holdings, llc$
$amistad energy services, llc$,$amistad energy services, llc$
$warren american oil company$,$warren american oil company$
$stasney well service, llc$,$stasney well service, llc$
$tilford pinson exploration, llc$,$tilford pinson exploration, llc$
$corterra energy operating, llc$,$corterra energy operating, llc$
$okland oil company$,$okland oil company$
$ironwood oil and gas, llc$,$ironwood oil and gas, llc$
$crown equipment co.$,$crown equipment co.$
$premier natural resources ii, llc$,$premier natural resources ii, llc$
$covey park operating, llc$,$covey park operating, llc$
$american energy - marcellus, llc$,$american energy - marcellus, llc$
$van operating$,$van operating$
$black hills exploration and production$,$black hills exploration and production$
$element petroleum op iii,llc$,$element petroleum op iii,llc$
$ageron energy, llc.$,$ageron energy, llc.$
$enerquest operating l.l.c.$,$enerquest operating l.l.c.$
$panther energy co. ii, llc$,$panther energy co. ii, llc$
$castleton commodities international$,$castleton commodities international$
$vanguard permian llc$,$vanguard permian llc$
$eagle oil & gas co.$,$eagle oil & gas co.$
$w.t. waggoner estate$,$w.t. waggoner estate$
$wct operating, llc$,$wct operating, llc$
$lance ruffel oil and gas$,$lance ruffel oil and gas$
$sabalo exploration operating,llc$,$sabalo exploration operating,llc$
$hilcorp alaska, llc$,$hilcorp alaska, llc$
$koch exploration company, llc$,$koch exploration company, llc$
$petroplex energy inc.$,$petroplex energy inc.$
$bullet development, llc$,$bullet development, llc$
$navidad resources llc$,$navidad resources llc$
$canan operating, inc.$,$canan operating, inc.$
$sdx resources, inc.$,$sdx resources, inc.$
$tri-c resources, llc$,$tri-c resources, llc$
$tellus operating group, llc$,$tellus operating group, llc$
$wodbine acquisition llc$,$wodbine acquisition llc$
$wodbine acquisition llc$,$woodbine acquisition llc$
$paul gillham oil company$,$paul gillham oil company$
$the cumming company, inc.$,$the cumming company, inc.$
$caelus energy$,$caelus energy$
$gaedeke oil & gas operating, llc$,$gaedeke oil & gas operating, llc$
$blackbrush o & g, inc.$,$blackbrush o & g, inc.$
$griffin petroleum company$,$griffin petroleum company$
$stroud petroleum, inc.$,$stroud petroleum, inc.$
$texegy operating company llc$,$texegy operating company llc$
$petroshare corp$,$petroshare corp$
$eagle road oil llc$,$eagle road oil llc$
$harmonia petroleum corporation$,$harmonia petroleum corporation$
$marlin energy resources, llc$,$marlin energy resources, llc$
$fifth creek energy operating company llc$,$fifth creek energy operating company llc$
$omimex petroleum inc.$,$omimex petroleum inc.$
$pt petroleum, llc.$,$pt petroleum, llc.$
$worsham-steed gas storage, llc$,$worsham-steed gas storage, llc$
$titan energy, llc$,$titan energy, llc$
$tamarack petroleum company, inc.$,$tamarack petroleum company, inc.$
$mustang fuel corporation$,$mustang fuel corporation$
$cholla petroleum, inc.$,$cholla petroleum, inc.$
$bopco, lp$,$bopco, lp$
$gordon creek, llc.$,$gordon creek, llc.$
$petro harvester operating company, llc$,$petro harvester operating company, llc$
$mineral resources, inc$,$mineral resources, inc$
$txon partners llc$,$txon partners llc$
$logos operating, llc$,$logos operating, llc$
$missouri river resources$,$missouri river resources$
$apollo operating, llc$,$apollo operating, llc$
$windy cove energy ii, llc$,$windy cove energy ii, llc$
$stout energy inc.$,$stout energy inc.$
$saddle operating, llc$,$saddle operating, llc$
$scala energy operating llc$,$scala energy operating llc$
$verdun oil company$,$verdun oil company$
$spess oil company$,$spess oil company$
$forty acres energy llc$,$forty acres energy llc$
$primary natural resources iii$,$primary natural resources iii$
$cisco operating, llc$,$cisco operating, llc$
$jmh production, llc$,$jmh production, llc$
